datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 14:06:00,Call,10000003,10,0.1341,0.5975,10000004,11,0.104,0.5438,295.452,51712.0,0.0057
2015-02-10 14:07:00,Call,10000001,10,0.2023,0.7008,10000004,13,0.104,0.5427,542.1691,59752.0,0.0091
2015-02-10 14:08:00,Call,10000001,10,0.2004,0.7027,10000004,13,0.104,0.5449,338.9516,59752.0,0.0057
2015-02-10 14:10:00,Call,10000001,10,0.2047,0.7055,10000002,11,0.163,0.6545,689.6111,64162.0,0.0107
2015-02-10 14:11:00,Call,10000001,10,0.2047,0.7027,10000004,13,0.104,0.5449,768.2301,59752.0,0.0129
2015-02-10 14:12:00,Call,10000001,10,0.204,0.7037,10000004,13,0.104,0.5459,691.6173,59752.0,0.0116
2015-02-10 14:15:00,Call,10000041,14,0.0654,0.4448,10000003,10,0.1341,0.6037,302.739,44247.8,0.0068
2015-02-10 14:16:00,Call,10000041,12,0.0654,0.4426,10000004,10,0.1064,0.5481,269.3501,37072.4,0.0073
2015-02-10 14:17:00,Call,10000001,10,0.2043,0.7074,10000003,12,0.1341,0.6037,369.3908,62324.0,0.0059
2015-02-10 14:18:00,Call,10000001,10,0.204,0.7056,10000004,13,0.1072,0.5481,261.6553,60168.0,0.0043
2015-02-10 14:20:00,Call,10000001,10,0.2065,0.7065,10000005,14,0.0841,0.4958,425.5054,58006.0,0.0073
2015-02-10 14:21:00,Call,10000001,10,0.2065,0.7074,10000004,13,0.1072,0.5502,498.733,60168.0,0.0083
2015-02-10 14:22:00,Call,10000001,10,0.2065,0.7056,10000004,13,0.1072,0.5481,510.681,60168.0,0.0085
2015-02-10 14:23:00,Call,10000001,10,0.2065,0.7074,10000004,13,0.1072,0.5502,498.242,60168.0,0.0083
2015-02-10 14:24:00,Call,10000001,10,0.2065,0.7074,10000004,13,0.1072,0.5502,497.9965,60168.0,0.0083
2015-02-10 14:26:00,Call,10000001,10,0.2041,0.7028,10000003,12,0.1312,0.5985,706.3698,61976.0,0.0114
2015-02-10 14:27:00,Call,10000001,10,0.2048,0.7037,10000041,16,0.0632,0.4404,469.2336,56344.0,0.0083
2015-02-10 14:32:00,Call,10000001,10,0.1998,0.7,10000004,13,0.102,0.5416,552.8348,59492.0,0.0093
2015-02-10 14:33:00,Call,10000001,10,0.2004,0.701,10000004,13,0.1022,0.5427,579.9621,59518.0,0.0097
2015-02-10 14:34:00,Call,10000001,10,0.2011,0.7,10000004,13,0.1022,0.5416,656.3589,59518.0,0.011
2015-02-10 14:35:00,Call,10000001,10,0.2011,0.701,10000004,13,0.103,0.5427,545.4841,59622.0,0.0091
2015-02-10 14:37:00,Call,10000001,10,0.1983,0.6953,10000004,13,0.1004,0.5362,644.0357,59284.0,0.0109
2015-02-10 14:38:00,Call,10000001,10,0.1975,0.6944,10000004,13,0.1004,0.5351,570.9194,59284.0,0.0096
2015-02-10 14:39:00,Call,10000001,10,0.1975,0.6953,10000004,13,0.1004,0.5362,563.5697,59284.0,0.0095
2015-02-10 14:40:00,Call,10000001,10,0.1975,0.6991,10000004,13,0.1004,0.5405,535.6525,59284.0,0.009
2015-02-10 14:41:00,Call,10000001,10,0.1987,0.6991,10000002,11,0.1582,0.6476,615.2951,63634.0,0.0097
2015-02-10 14:42:00,Call,10000001,10,0.1988,0.7019,10000002,11,0.1582,0.6506,624.7832,63634.0,0.0098
2015-02-10 14:43:00,Call,10000001,10,0.1991,0.702,10000002,11,0.1582,0.6506,654.6912,63634.0,0.0103
2015-02-10 14:45:00,Call,10000001,10,0.1993,0.701,10000002,11,0.1582,0.6496,674.6176,63634.0,0.0106
2015-02-10 14:46:00,Call,10000001,10,0.1993,0.702,10000002,11,0.1582,0.6506,674.4151,63634.0,0.0106
